,average_color_R,average_color_G,average_color_B,likely_inner_face,brightness_range,X+,X-,Y+,Y-,Z+,Z-
piece8.PLY,0.7835940497100103,0.641930747086273,0.4373852077781288,X+,0.7424894291961589,0.7424894291961589,0,0.5590599985312478,0.7278831742838662,0.5937025583854794,0.5667523578378149
piece5.PLY,0.8527945898463699,0.7431441085274618,0.6108597650750696,Z-,0.8121848788090927,0.776407670189024,0,0.6780220887327314,0.7781585123138696,0.6877811980416536,0.8121848788090927
piece15.PLY,0.9378729087027549,0.8572382808699127,0.5720119566170634,Z+,0.8124565395444397,0.7797566171956813,0,0.6823529411764705,0.7669081478957602,0.8124565395444397,0.6758169934640523
piece7.PLY,0.8151455375758092,0.6902292036831558,0.5575201338742791,X+,0.8186827916967152,0.8186827916967152,0,0.7413247716240492,0.7756045935230583,0.6367302073775305,0.7088739385009113
piece11.PLY,0.8469918381061164,0.778708789114173,0.6110353777605046,X+,0.8384380366620693,0.8384380366620693,0,0.7128177813287171,0.7772965616114587,0.6649328615910451,0.680060172217035
piece4.PLY,0.8194251257784331,0.7180036312571434,0.5907625330990104,Y+,0.8450125708741122,0.834523491582603,0,0.8450125708741122,0.7737045826633334,0.67862840304171,0.7602704506894947
piece10.PLY,0.8533347282131686,0.7964177521958555,0.6353861677916576,Y+,0.8519112163881213,0.8438127296440913,0,0.8519112163881213,0.7072787392790953,0.7929527116685572,0.8331513802102037
piece3.PLY,0.7660801181080263,0.6674265366932858,0.5569126074555302,X+,0.8749732891799026,0.8749732891799026,0,0.6853766422393873,0.5715873321809591,0.5878249537760131,0.6699400976404264
piece17.PLY,0.9209363077971495,0.8661515048887015,0.7219696706552282,Z-,0.8863933452168747,0.8419659847061188,0,0.7172113289760348,0.7818015384884964,0.8539811613055047,0.8863933452168747
piece14.PLY,0.9264490080339551,0.8731966667629436,0.6769320308053296,Z-,0.8888888888888887,0.8138775392553199,0,0.8426392779333957,0.8289389243291406,0.8714105562243718,0.8888888888888887
piece13.PLY,0.9198740206231313,0.8511447742638677,0.6705950792183216,X+,0.892007616694972,0.892007616694972,0,0.8481792717086835,0.794006434036836,0.8691119509361415,0.8539512774806893
piece6.PLY,0.9198740206231313,0.8511447742638677,0.6705950792183216,X+,0.892007616694972,0.892007616694972,0,0.8481792717086835,0.794006434036836,0.8691119509361415,0.8539512774806893
piece9.PLY,0.8584796199478798,0.7998365154622782,0.6482577918317286,Z-,0.9017723391059587,0.8693109300041973,0,0.8726376237770587,0.7978271742066904,0.6772868843456822,0.9017723391059587
piece2.PLY,0.8653475608005978,0.7658400642190428,0.6379292535450692,Z-,0.9048777332372825,0.7739297968662047,0,0.8082681204021219,0.7010781007650835,0.7439737634101165,0.9048777332372825
piece12.PLY,0.9120182969490616,0.8257528800518008,0.6110781914207559,Y+,0.9222222222222222,0.6656923237478307,0,0.9222222222222222,0.7897311514792819,0.7864119925476408,0.8397058823529412
piece1.PLY,0.8317742124651097,0.7344856694317998,0.6080595880643218,Y+,0.9473449374880217,0.7982560494419322,0,0.9473449374880217,0.7893658851038339,0.7316172849496296,0.5533979578225848
piece16.PLY,0.9568306227746602,0.9327568348112033,0.8313891412117814,Z-,0.9487388041636408,0.6712647102636675,0,0.9217138707334784,0.7783716317175968,0.9390936092556126,0.9487388041636408
