Source,Target,Fitness,RMSE
NAR_ST_43B_FR_01_F_01_R_02.PLY,NAR_ST_43B_FR_02_F_01_R_01.PLY,0.02127,1.176178
NAR_ST_43B_FR_01_F_01_R_02.PLY,NAR_ST_43B_FR_03_F_01_R_01.PLY,0.025509,1.184926
NAR_ST_43B_FR_01_F_01_R_02.PLY,NAR_ST_43B_FR_04_F_01_R_01.PLY,0.026044,1.146767
NAR_ST_43B_FR_01_F_01_R_02.PLY,NAR_ST_43B_FR_05_F_01_R_01.PLY,0.030613,1.182464
NAR_ST_43B_FR_02_F_01_R_01.PLY,NAR_ST_43B_FR_03_F_01_R_01.PLY,0.055424,1.166158
NAR_ST_43B_FR_02_F_01_R_01.PLY,NAR_ST_43B_FR_04_F_01_R_01.PLY,0.03542,1.187014
NAR_ST_43B_FR_02_F_01_R_01.PLY,NAR_ST_43B_FR_05_F_01_R_01.PLY,0.0383,1.184725
NAR_ST_43B_FR_03_F_01_R_01.PLY,NAR_ST_43B_FR_04_F_01_R_01.PLY,0.024595,1.185644
NAR_ST_43B_FR_03_F_01_R_01.PLY,NAR_ST_43B_FR_05_F_01_R_01.PLY,0.029093,1.17458
NAR_ST_43B_FR_04_F_01_R_01.PLY,NAR_ST_43B_FR_05_F_01_R_01.PLY,0.050523,1.177331
